x,y
37.27366968,355
37.28679996,336
37.29993024,326
37.31306053,298
37.32619081,323
37.33932109,349
37.35245137,331
37.36558166,317
37.37871194,313
37.39184222,346
37.4049725,351
37.41810279,324
37.43123307,366
37.44436335,334
37.45749363,354
37.47062392,342
37.4837542,318
37.49688448,347
37.51001477,321
37.52314505,322
37.53627533,336
37.54940561,303
37.5625359,305
37.57566618,325
37.58879646,321
37.60192674,341
37.61505703,314
37.62818731,354
37.64131759,333
37.65444787,341
37.66757816,359
37.68070844,342
37.69383872,344
37.70696901,330
37.72009929,356
37.73322957,335
37.74635985,309
37.75949014,389
37.77262042,350
37.7857507,364
37.79888098,330
37.81201127,318
37.82514155,330
37.83827183,356
37.85140211,344
37.8645324,333
37.87766268,327
37.89079296,330
37.90392325,337
37.91705353,333
37.93018381,325
37.94331409,364
37.95644438,315
37.96957466,373
37.98270494,346
37.99583522,368
38.00896551,371
38.02209579,334
38.03522607,342
38.04835636,351
38.06148664,353
38.07461692,368
38.0877472,387
38.10087749,391
38.11400777,423
38.12713805,450
38.14026833,520
38.15339862,571
38.1665289,572
38.17965918,713
38.19278946,710
38.20591975,718
38.21905003,717
38.23218031,792
38.2453106,824
38.25844088,919
38.27157116,973
38.28470144,1046
38.29783173,1127
38.31096201,1141
38.32409229,1243
38.33722257,1355
38.35035286,1654
38.36348314,1974
38.37661342,2713
38.3897437,3679
38.40287399,4965
38.41600427,6964
38.42913455,9652
38.44226484,12482
38.45539512,13318
38.4685254,11273
38.48165568,8802
38.49478597,6654
38.50791625,5749
38.52104653,5751
38.53417681,6605
38.5473071,7140
38.56043738,6488
38.57356766,5052
38.58669794,3686
38.59982823,2597
38.61295851,1749
38.62608879,1334
38.63921908,1038
38.65234936,876
38.66547964,797
38.67860992,675
38.69174021,606
38.70487049,564
38.71800077,568
38.73113105,504
38.74426134,466
38.75739162,454
38.7705219,422
38.78365219,405
38.79678247,391
38.80991275,368
38.82304303,328
38.83617332,354
38.8493036,374
38.86243388,368
38.87556416,343
38.88869445,339
38.90182473,322
38.91495501,379
38.92808529,365
38.94121558,376
38.95434586,369
38.96747614,364
38.98060643,390
38.99373671,394
39.00686699,374
39.01999727,358
39.03312756,335
39.04625784,341
39.05938812,331
39.0725184,316
39.08564869,344
39.09877897,306
39.11190925,299
39.12503953,291
39.13816982,334
39.1513001,315
39.16443038,280
39.17756067,303
39.19069095,298
39.20382123,272
39.21695151,290
39.2300818,287
39.24321208,290
39.25634236,301
39.26947264,299
39.28260293,296
39.29573321,309
39.30886349,274
39.32199377,303
39.33512406,320
39.34825434,284
39.36138462,255
39.37451491,297
39.38764519,312
39.40077547,285
39.41390575,294
39.42703604,283
39.44016632,270
39.4532966,296
39.46642688,285
39.47955717,302
39.49268745,257
39.50581773,278
39.51894801,325
39.5320783,295
39.54520858,263
39.55833886,294
39.57146915,298
39.58459943,277
39.59772971,274
39.61085999,298
39.62399028,272
39.63712056,304
39.65025084,271
39.66338112,285
39.67651141,279
39.68964169,291
39.70277197,291
39.71590226,278
39.72903254,276
39.74216282,285
39.7552931,279
39.76842339,273
39.78155367,269
39.79468395,258
39.80781423,233
39.82094452,267
39.8340748,279
39.84720508,297
39.86033536,289
39.87346565,296
39.88659593,314
39.89972621,268
39.9128565,256
39.92598678,261
39.93911706,265
39.95224734,306
39.96537763,303
39.97850791,299
39.99163819,257
40.00476847,263
40.01789876,269
40.03102904,276
40.04415932,274
40.0572896,272
40.07041989,274
40.08355017,272
40.09668045,272
40.10981074,249
40.12294102,291
40.1360713,298
40.14920158,279
40.16233187,268
40.17546215,299
40.18859243,259
40.20172271,282
40.214853,263
40.22798328,266
40.24111356,297
40.25424384,282
40.26737413,302
40.28050441,247
40.29363469,275
40.30676498,264
40.31989526,275
40.33302554,261
40.34615582,274
40.35928611,288
40.37241639,297
40.38554667,280
40.39867695,259
40.41180724,272
40.42493752,270
40.4380678,264
40.45119808,271
40.46432837,243
40.47745865,261
40.49058893,243
40.50371922,270
40.5168495,267
40.52997978,263
40.54311006,248
40.55624035,237
40.56937063,242
40.58250091,265
40.59563119,233
40.60876148,259
40.62189176,263
40.63502204,246
40.64815233,281
40.66128261,280
40.67441289,273
40.68754317,245
40.70067346,238
40.71380374,221
40.72693402,255
40.7400643,279
40.75319459,270
40.76632487,270
40.77945515,265
40.79258543,258
40.80571572,257
40.818846,224
40.83197628,262
40.84510657,235
40.85823685,274
40.87136713,269
40.88449741,261
40.8976277,277
40.91075798,276
40.92388826,270
40.93701854,257
40.95014883,263
40.96327911,326
40.97640939,315
40.98953967,309
41.00266996,322
41.01580024,327
41.02893052,353
41.04206081,318
41.05519109,305
41.06832137,351
41.08145165,357
41.09458194,349
41.10771222,349
41.1208425,313
41.13397278,298
41.14710307,273
41.16023335,321
41.17336363,296
41.18649391,282
41.1996242,282
41.21275448,281
41.22588476,255
41.23901505,267
41.25214533,226
41.26527561,274
41.27840589,260
41.29153618,272
41.30466646,257
41.31779674,265
41.33092702,264
41.34405731,245
41.35718759,270
41.37031787,270
41.38344816,240
41.39657844,266
41.40970872,280
41.422839,273
41.43596929,264
41.44909957,270
41.46222985,277
41.47536013,272
